Sigma,Alpha,WinnerSet_Names,NEC_Heros_Count,NEC_Hero_Names,Zodiac_Heros_Count,Zodiac_Hero_Names,NEC_Passive_Count,Zodiac_Passive_Count,Watts_Total,Delay_ms,Score
0,0,"['Aachen', 'Braunschweig', 'Bremerhaven', 'Frankfurt']",2,"['Braunschweig', 'Frankfurt']",2,"['Aachen', 'Bremerhaven']",6,40,1617.08,2.56,0.0
0,0.2,"['Aachen', 'Bremerhaven', 'Fulda', 'Hannover']",0,[],4,"['Aachen', 'Bremerhaven', 'Fulda', 'Hannover']",8,38,1617.08,2.58,0.0393
0,0.4,"['Aachen', 'Bremerhaven', 'Fulda', 'Hannover']",0,[],4,"['Aachen', 'Bremerhaven', 'Fulda', 'Hannover']",8,38,1617.08,2.58,0.0619
0,0.6,"['Aachen', 'Bremerhaven', 'Fulda', 'Hannover']",0,[],4,"['Aachen', 'Bremerhaven', 'Fulda', 'Hannover']",8,38,1617.08,2.58,0.0844
0,0.8,"['Aachen', 'Bremerhaven', 'Fulda']",0,[],3,"['Aachen', 'Bremerhaven', 'Fulda']",8,39,1617.08,2.78,0.0941
0,1,"['Aachen', 'Bremerhaven']",0,[],2,"['Aachen', 'Bremerhaven']",8,40,1617.08,3.6,0.0
100,0,"['Aachen', 'Braunschweig', 'Bremerhaven', 'Frankfurt']",2,"['Braunschweig', 'Frankfurt']",2,"['Aachen', 'Bremerhaven']",7,39,1721.93,2.56,0.0
100,0.2,"['Aachen', 'Bremerhaven', 'Fulda', 'Hannover']",0,[],4,"['Aachen', 'Bremerhaven', 'Fulda', 'Hannover']",9,37,1721.93,2.58,0.0401
100,0.4,"['Aachen', 'Bremerhaven', 'Fulda', 'Hannover']",0,[],4,"['Aachen', 'Bremerhaven', 'Fulda', 'Hannover']",9,37,1721.93,2.58,0.0624
100,0.6,"['Aachen', 'Bremerhaven', 'Fulda', 'Hannover']",0,[],4,"['Aachen', 'Bremerhaven', 'Fulda', 'Hannover']",9,37,1721.93,2.58,0.0848
100,0.8,"['Aachen', 'Bremerhaven', 'Fulda']",0,[],3,"['Aachen', 'Bremerhaven', 'Fulda']",9,38,1721.93,2.79,0.0941
100,1,"['Aachen', 'Bremerhaven']",0,[],2,"['Aachen', 'Bremerhaven']",9,39,1721.93,3.6,0.0
200,0,"['Aachen', 'Braunschweig', 'Bremerhaven', 'Wuerzburg']",2,"['Braunschweig', 'Wuerzburg']",2,"['Aachen', 'Bremerhaven']",11,35,2140.94,2.54,0.0
200,0.2,"['Aachen', 'Bremerhaven', 'Fulda', 'Hannover']",0,[],4,"['Aachen', 'Bremerhaven', 'Fulda', 'Hannover']",13,33,2140.94,2.59,0.0569
200,0.4,"['Aachen', 'Bremerhaven', 'Fulda', 'Hannover']",0,[],4,"['Aachen', 'Bremerhaven', 'Fulda', 'Hannover']",13,33,2140.94,2.59,0.0751
200,0.6,"['Aachen', 'Bremerhaven', 'Fulda', 'Hannover']",0,[],4,"['Aachen', 'Bremerhaven', 'Fulda', 'Hannover']",13,33,2140.94,2.59,0.0932
200,0.8,"['Aachen', 'Bremerhaven', 'Fulda']",0,[],3,"['Aachen', 'Bremerhaven', 'Fulda']",13,34,2140.94,2.79,0.0972
200,1,"['Aachen', 'Bremerhaven']",0,[],2,"['Aachen', 'Bremerhaven']",13,35,2140.94,3.61,0.0
400,0,"['Aachen', 'Braunschweig', 'Bremerhaven', 'Wuerzburg']",3,"['Aachen', 'Braunschweig', 'Wuerzburg']",1,['Bremerhaven'],31,15,4339.33,2.54,0.0
400,0.2,"['Aachen', 'Bremerhaven', 'Giessen', 'Regensburg']",2,"['Aachen', 'Giessen']",2,"['Bremerhaven', 'Regensburg']",32,14,4339.33,2.64,0.1871
400,0.4,"['Aachen', 'Bielefeld', 'Bremerhaven', 'Regensburg']",1,['Aachen'],3,"['Bielefeld', 'Bremerhaven', 'Regensburg']",33,13,4339.33,2.86,0.2368
400,0.6,"['Aachen', 'Bielefeld', 'Bremerhaven', 'Regensburg']",1,['Aachen'],3,"['Bielefeld', 'Bremerhaven', 'Regensburg']",33,13,4339.33,2.86,0.2007
400,0.8,"['Aachen', 'Bremerhaven', 'Regensburg']",1,['Aachen'],2,"['Bremerhaven', 'Regensburg']",33,14,4339.33,3.09,0.1557
400,1,"['Aachen', 'Bremerhaven']",1,['Aachen'],1,['Bremerhaven'],33,15,4339.33,3.59,0.0
700,0,"['Aachen', 'Braunschweig', 'Bremerhaven', 'Wuerzburg']",3,"['Aachen', 'Braunschweig', 'Wuerzburg']",1,['Bremerhaven'],36,10,4862.82,2.54,0.0
700,0.2,"['Aachen', 'Bremerhaven', 'Giessen', 'Regensburg']",2,"['Aachen', 'Giessen']",2,"['Bremerhaven', 'Regensburg']",37,9,4862.82,2.64,0.1873
700,0.4,"['Aachen', 'Bremerhaven', 'Duesseldorf', 'Regensburg']",1,['Aachen'],3,"['Bremerhaven', 'Duesseldorf', 'Regensburg']",38,8,4862.82,2.89,0.2523
700,0.6,"['Aachen', 'Bremerhaven', 'Duesseldorf', 'Regensburg']",1,['Aachen'],3,"['Bremerhaven', 'Duesseldorf', 'Regensburg']",38,8,4862.82,2.89,0.2106
700,0.8,"['Aachen', 'Bremerhaven', 'Regensburg']",1,['Aachen'],2,"['Bremerhaven', 'Regensburg']",38,9,4862.82,3.09,0.1558
700,1,"['Aachen', 'Bremerhaven']",1,['Aachen'],1,['Bremerhaven'],38,10,4862.82,3.59,0.0
