Sigma,Alpha,WinnerSet,NEC_Heros,NEC_Passive,Watts_Total,Delay_ms,Score
0,0.0,"[2, 3, 4, 10]",4,7,1316.46,17.16,0.0
0,0.25,"[2, 3, 4, 10]",4,7,1316.46,17.16,0.25
0,0.5,"[2, 3, 10]",3,8,1316.46,18.39,0.3981
0,0.75,"[2, 3]",2,9,1316.46,21.29,0.25
0,1.0,"[2, 3]",2,9,1316.46,21.29,0.0
50,0.0,"[2, 3, 4, 10]",4,7,1316.46,17.16,0.0
50,0.25,"[2, 3, 4, 10]",4,7,1316.46,17.16,0.25
50,0.5,"[2, 3, 10]",3,8,1316.46,18.39,0.3981
50,0.75,"[2, 3]",2,9,1316.46,21.29,0.25
50,1.0,"[2, 3]",2,9,1316.46,21.29,0.0
100,0.0,"[2, 3, 4, 10]",4,7,1316.46,17.16,0.0
100,0.25,"[2, 3, 4, 10]",4,7,1316.46,17.16,0.25
100,0.5,"[2, 3, 10]",3,8,1316.46,18.39,0.3981
100,0.75,"[2, 3]",2,9,1316.46,21.29,0.25
100,1.0,"[2, 3]",2,9,1316.46,21.29,0.0
200,0.0,"[2, 3, 4, 10]",4,7,1316.46,17.16,0.0
200,0.25,"[2, 3, 4, 10]",4,7,1316.46,17.16,0.25
200,0.5,"[2, 3, 10]",3,8,1316.46,18.39,0.3981
200,0.75,"[2, 3]",2,9,1316.46,21.29,0.25
200,1.0,"[2, 3]",2,9,1316.46,21.29,0.0
400,0.0,"[2, 3, 4, 10]",4,7,1316.46,17.16,0.0
400,0.25,"[2, 3, 4, 10]",4,7,1316.46,17.16,0.25
400,0.5,"[2, 3, 10]",3,8,1316.46,18.39,0.3981
400,0.75,"[2, 3]",2,9,1316.46,21.29,0.25
400,1.0,"[2, 3]",2,9,1316.46,21.29,0.0
